image,page,text
.\Fibo_Project\Database\mold_Preparing\image\raw\page_3.png,3,ขั้นตอนการผลิตและควบคุมคุณภาพ
.\Fibo_Project\Database\mold_Preparing\image\raw\page_4.png,4,"การตรวจสอบก่อนการเทออนกริตการเตรียมโมล
1. ตรวจสอบชนิด (type) ของโมลให้ตรงกับแบบและทำความสะอาดโมลโดยใช้ลมเป่า
2. ใช้น้ำยาทาแบบทาบริเวณขอบรอยต่อของโมลก่อนการปิดโมล
3. เน้นการทาน้ำมันบริเวณขอบยาง (rubber) เพื่อป้องกันไม่ให้ยางเกิดความเสียหายขณะเปิด-ปิด"
.\Fibo_Project\Database\mold_Preparing\image\raw\page_5.png,5,หลังจากปิดด้านข้าง ทาทั้ง 4 ด้านและท้องแบบ 5 ทานายาทาแบบ บริเวณฝาปิดทั้งสองข้าง นote นายาทาแบบที่ใช้ต้องได้รับการอนุมัติโดยเจ้าของงาน/ตัวแทนเจ้าของงาน 6. ทาจารบีที่ pocket เพื่อป้องกันไม่ให้เกิดความเสียหาย โดยทาให้ครบตามจำนวนของแต่ละโมด
.\Fibo_Project\Database\mold_Preparing\image\raw\page_6.png,6,"บทความที่แก้คำผิดแล้วคือ:

'7 นำ pocket ใส่กลับเข้าไปยังตำแหน่งเดิม ให้ครปตามจำนวนของแต่ละโมล 8 ตรวจสอบเหล็กที่ผูกเสร็จแล้วที่ jig โดยมีวิธีตรวจสอบเหล็กเสริมคอนกรีต ดังนี้ จำนวนของเหล็กเสริม (ตามที่ระบุไว้ในแบบ) ขนาดของเหล็กเสริม (ตามที่ระบุไว้ในแบบ) ระยะห่างของเหล็กเสริม (ตามที่ระบุไว้ในแบบ) ตำแหน่งของเหล็กเสริม (ตามที่ระบุไว้ในแบบ) ตำแหน่งลูกปูน (covering) สภาพผิวของเหล็กเสริม (สนิมอื่น ๆ) การเก็บงานของปลายลวดผูกเหล็ก'"
.\Fibo_Project\Database\mold_Preparing\image\raw\page_7.png,7,9 วางเหล็กที่ตรวจสอบแล้ว ลงในโมล 1 ดี จัดเหล็กให้พอดีกับช่องว่างของอินส์เสิร์ต ในโมล และตรวจสอบตำแหน่งของลูกปูน 11 ทาครีมจารบีให้ทั่ว สตรีทโบลต์สีเขียวทั้ง 2 ตัว ให้ครบตามจำนวนของแต่ละโมล
.\Fibo_Project\Database\mold_Preparing\image\raw\page_8.png,8,"12 นำกลับไปใส่ให้แน่นตามตำแหน่งในฝั่งด้านสั่น
13 ทาจารบีที่ temporary curved bolt ให้ครบตามจำนวนในแต่ละโมล
14 เตรียม curved plastic sheath ให้ครบตามจำนวนในแต่ละโมล"
.\Fibo_Project\Database\mold_Preparing\image\raw\page_9.png,9,"15 นำ temporary curved bolt กลับเข้าไปฝังในโมล พร้อมกับสวม curved plastic sheath แล้วทำการยีดให้แน่น
16 นำ plastic socket สวมเกลียวพร้อมขันล็อคให้แน่นสุด เกลียวบนปาก plastic socket แนบสนิทกับโมล
17 ใช้ socket wrench ขัน socket hole ตามทิศทางให้แน่น เพื่อป้องกันไม่ให้น้ำปูนไหลเข้าไปด้านใน"
.\Fibo_Project\Database\mold_Preparing\image\raw\page_10.png,10,"18. นำคราวต์พลักมาปิดโฮลเพื่อขังน้ำปูนเข้าไปดันโฮลในขณะเทคอนกรีต
19. สุดท้ายตรวจสอบอุปกรณ์การฝังภายในแต่ละโมลให้ครบตามจำนวนและยึดแน่นหนาพร้อมกับตรวจสอบจำนวนของเหล็กเสริม ขนาด ระยะทาง ตำแหน่ง และระยะห่างของคอนกรีตให้เป็นไปตามที่ระบุไว้ในแบบอีกครั้งก่อนปิดฝาโมล"
.\Fibo_Project\Database\mold_Preparing\image\raw\page_11.png,11,2d. ปิดฝาโมลพร้อมล็อคบอลต์ (bolt) ตามจำนวนของแต่ละโมลให้แน่น เพื่อเตรียมพร้อมสำหรับงานเทคอนกรีต หมายเหตุ: อุปกรณ์ที่ใช้การฝังทั้งหมดต้องได้รับการอนุมัติจากเจ้าของงาน/ตัวแทนเจ้าของงาน ใบบันทึกการตรวจสอบ (inspection check sheet) ต้องบันทึกโดย AC ตามแบบฟอร์มในเอกสารแนบ
.\Fibo_Project\Database\mold_Preparing\image\raw\page_12.png,12,ภาพประกอบการอบรม
