,question,context,answer
0,การเตรียมโมลสำหรับงานคอนกรีตมีขั้นตอนอย่างไร?,การตรวจสอบและเตรียมโมลก่อนการเทคอนกรีต,"ตรวจสอบชนิดและทำความสะอาดโมล, ใช้น้ำยาทาแบบที่ขอบรอยต่อ, และตรวจสอบการทาน้ำมันบริเวณขอบยาง"
1,วิธีการตรวจสอบเหล็กเสริมในคอนกรีตมีอะไรบ้าง?,ข้อกำหนดในการตรวจสอบเหล็กเสริมคอนกรีต,ตรวจสอบจำนวน ขนาด ระยะห่าง ตำแหน่ง และการวางลูกปูนตามแบบ
2,การทาจาระบีที่ TEMPORARY CURVED BOLT ทำอย่างไร?,การทาจาระบีที่ TEMPORARY CURVED BOLT ในแต่ละโมล,ทาจาระบีให้ครบตามจำนวนที่กำหนดในแต่ละโมล
3,การปิดฝาโมลและล็อค BOLT ในการเตรียมงานคอนกรีตต้องทำอย่างไร?,ขั้นตอนการปิดฝาโมลและการล็อค BOLT,ปิดฝาโมลและล็อค BOLT ตามจำนวนที่กำหนดในแต่ละโมลเพื่อเตรียมพร้อมสำหรับการเทคคอนกรีต
4,การทำความสะอาดโมลต้องใช้อุปกรณ์หรือสารเคมีอะไรบ้าง?,การทำความสะอาดโมลเพื่อเตรียมการสำหรับการเทคอนกรีต,ใช้ลมเป่าทำความสะอาด และใช้น้ำยาทาแบบที่ขอบรอยต่อเพื่อป้องกันไม่ให้โมลเสียหาย
5,การตรวจสอบจำนวนและขนาดของเหล็กเสริมต้องอ้างอิงกับข้อมูลอะไร?,ข้อมูลจากแบบแปลนและมาตรฐานที่กำหนดไว้,ต้องตรวจสอบตามที่ระบุไว้ในแบบ เช่น ขนาด จำนวน และระยะห่างของเหล็กเสริม
6,การทาจาระบีในขั้นตอนต่างๆ มีจุดประสงค์อะไร?,การทาจาระบีในบริเวณต่างๆ ของโมลและ TEMPORARY CURVED BOLT,ช่วยป้องกันการเสียหายของชิ้นส่วนต่างๆ ขณะทำงานและทำให้การประกอบชิ้นส่วนง่ายขึ้น
7,การตรวจสอบระยะหุ้มของคอนกรีตมีขั้นตอนอย่างไร?,ข้อกำหนดด้านความปลอดภัยในการเสริมแรงคอนกรีต,ตรวจสอบตามระยะที่กำหนดในแบบ และทำการตรวจซ้ำก่อนการเทคอนกรีต
8,เหล็กเสริมต้องตรวจสอบตำแหน่งอย่างไรเพื่อให้ตรงกับแบบแปลน?,ตำแหน่งและการจัดเรียงเหล็กเสริมในคอนกรีต,ตรวจสอบตำแหน่งตามที่ระบุไว้ในแบบโดยละเอียด รวมถึงการวางลูกปูนเพื่อให้เหล็กเสริมอยู่ในตำแหน่งที่ถูกต้อง
9,การปิดฝาโมลและการล็อค BOLT ต้องทำตามขั้นตอนใดบ้างเพื่อความปลอดภัย?,การเตรียมโมลและการล็อคฝาโมลก่อนการเทคอนกรีต,ตรวจสอบให้ BOLT ล็อคแน่นเพื่อเตรียมพร้อมสำหรับการเทคอนกรีตอย่างปลอดภัย
